model,epoch,split,metric,value
pod_deeponet,27,train,relative_l2,0.20085953623056413
pod_deeponet,27,validation,relative_l2,0.27428687214851377
pod_deeponet,28,train,relative_l2,0.19594396650791168
pod_deeponet,28,validation,relative_l2,0.24273187220096587
pod_deeponet,29,train,relative_l2,0.19453836381435394
pod_deeponet,29,validation,relative_l2,0.2407355487346649
pod_deeponet,30,train,relative_l2,0.1911984607577324
pod_deeponet,30,validation,relative_l2,0.2553496778011322
pod_deeponet,31,train,relative_l2,0.20186803340911866
pod_deeponet,31,validation,relative_l2,0.2593157470226288
pod_deeponet,32,train,relative_l2,0.18446576595306396
pod_deeponet,32,validation,relative_l2,0.2510953962802887
pod_deeponet,33,train,relative_l2,0.20146055221557618
pod_deeponet,33,validation,relative_l2,0.32375560998916625
pod_deeponet,34,train,relative_l2,0.20331207811832427
pod_deeponet,34,validation,relative_l2,0.2608520299196243
pod_deeponet,35,train,relative_l2,0.2094110757112503
pod_deeponet,35,validation,relative_l2,0.25271364748477937
pod_deeponet,36,train,relative_l2,0.193575619161129
pod_deeponet,36,validation,relative_l2,0.2553994178771973
pod_deeponet,37,train,relative_l2,0.1745247483253479
pod_deeponet,37,validation,relative_l2,0.256317675113678
pod_deeponet,38,train,relative_l2,0.16750939935445786
pod_deeponet,38,validation,relative_l2,0.23965223431587218
pod_deeponet,39,train,relative_l2,0.1585857853293419
pod_deeponet,39,validation,relative_l2,0.2365744799375534
pod_deeponet,40,train,relative_l2,0.15279458463191986
pod_deeponet,40,validation,relative_l2,0.23878868222236632
pod_deeponet,41,train,relative_l2,0.14474354982376098
pod_deeponet,41,validation,relative_l2,0.2229918658733368
pod_deeponet,42,train,relative_l2,0.14572041258215904
pod_deeponet,42,validation,relative_l2,0.22061436176300048
pod_deeponet,43,train,relative_l2,0.1425030052661896
pod_deeponet,43,validation,relative_l2,0.21914873123168946
pod_deeponet,44,train,relative_l2,0.14374012425541877
pod_deeponet,44,validation,relative_l2,0.22059937417507172
pod_deeponet,45,train,relative_l2,0.14367017298936843
pod_deeponet,45,validation,relative_l2,0.21881245374679564
pod_deeponet,46,train,relative_l2,0.13541652336716653
pod_deeponet,46,validation,relative_l2,0.2234239846467972
pod_deeponet,47,train,relative_l2,0.13011462092399598
pod_deeponet,47,validation,relative_l2,0.21190753281116487
pod_deeponet,48,train,relative_l2,0.12959470227360725
pod_deeponet,48,validation,relative_l2,0.22232684940099717
pod_deeponet,49,train,relative_l2,0.1437513515353203
pod_deeponet,49,validation,relative_l2,0.2232319623231888
pod_deeponet,50,train,relative_l2,0.1317274421453476
pod_deeponet,50,validation,relative_l2,0.21696585714817046
pod_deeponet,51,train,relative_l2,0.13008140698075293
pod_deeponet,51,validation,relative_l2,0.21245625615119934
